Applaud.	Pumalakpak.
It rained really hard last December 22.	Umulan ng malakas noong ika-dalawampu't dalawa ng Disyembre.
It rained really hard last December 23.	Umulan ng malakas noong ika-dalawampu't tatlo ng Disyembre.
It rained really hard last December 29.	Umulan ng malakas noong ika-dalawampu't siyam ng Disyembre.
It rained really hard last November 22.	Umulan ng malakas noong ika-dalawampu't dalawa ng Nobyembre.
It rained really hard last November 23.	Umulan ng malakas noong ika-dalawampu't tatlo ng Nobyembre.
It rained really hard last November 29.	Umulan ng malakas noong ika-dalawampu't siyam ng Nobyembre.
It rained really hard last September 21.	Umulan ng malakas noong ika-dalawampu't isa ng setyembre.
It rained really hard last September 22.	Umulan ng malakas noong ika-dalawampu't dalawa ng setyembre.
It rained really hard last September 23.	Umulan ng malakas noong ika-dalawampu't tatlo ng setyembre.
It rained really hard last September 24.	Umulan ng malakas noong ika-dalawampu't apat ng setyembre.
It rained really hard last September 25.	Umulan ng malakas noong ika-dalawampu't lima ng setyembre.
It rained really hard last September 26.	Umulan ng malakas noong ika-dalawampu't anim ng setyembre.
It rained really hard last September 27.	Umulan ng malakas noong ika-dalawampu't pito ng setyembre.
It rained really hard last September 28.	Umulan ng malakas noong ika-dalawampu't walo ng setyembre.
It rained really hard last September 29.	Umulan ng malakas noong ika-dalawampu't siyam ng setyembre.
It's more fun in Demorcratic Republic of the Congo.	Mas masaya saDeomokratikong Republika ng Konggo.
It's not important if there is steamed rice left.	Hindi mahalaga kung may kanin pa.
John celebrated his birthday last week.	Ipinagdiwang ni John ang kanyang kaarawan noong isang linggo.
Last year, we visited the Niagara Falls.	Noong nakaraang taon, binisita namin ang Niagara Falls.
Make a decision, that you'll never regret it.	Gumawa ng desisyon na hinding-hindi mo pagsisihan.
My body feels sore after that competition.	Nananakit ang katawan ko pagkatapos ng paligsahang iyon.
Never forget to bring camera when traveling.	Huwag kalimutang magdala ng kamera sa tuwing maglalakbay.
Now mind, don't tell her everything!	Huwag mong kakalimutan, bawal mo sa kaniyang sabihin lahat!
Nowadays intelligent girls are single.	Sa panahon ngayon ang mga matatalinong babae ay walang kinakasama.
Or they try to divide up relatives.	O baka sinusubukan nilang paghiwalayin ang mga magkakamag-anak.
Our department has the most hardworking individuals.	Nasa aming departamento ang mga pinakamasipag na indibidwal.
Our gathering together unto him [a reference.	Ating pagtitipon kasama niya [isang pagtukoy sa destruksyon].
Our plae gets quiet when midnight falls.	Tumatahimik ang lugar namin tuwing sumasapit ang hating-gabi.
Our walk every morning is like exercise.	Parang ehersisyo ang araw-araw naming paglalakad sa umaga.
Paralysis shut down his body partly.	Ang pagkaparalisa ang nagpatigil nang bahagya sa kanyang katawan.
Passages concerning the second coming of Jesus.	Mga talata patungkol sa ikalawang pagdating ni Jesukristo.
Pastor Anderson: He describes the events that.	Pastor Anderson: Inilarawan niya ang mga kaganapang magaganap.
Pastor Anderson: He is speaking to believers.	Pastor Anderson: Siya ay nagsasalita sa mga mananampalataya.
Pastor Anderson: Now pay close attention to.	Pastor Anderson: Ngayon usisaing maigi ang bersikulo 5:.
People will gossip briefly, then forget.	Pagtsitsismisan nila ito nang panandalian, tapos kakalimutan nila ito.
Personally, I like a chocolate-colored sky.	Para sa akin, gusto ko ang kalangitang kulay tsokolate.
Picture green, overgrown, scratchy and thorny bush.	Larawan berde, tinutubuan, makalmot at matinik na bush.
Privatewriting will take care of your academic success.	Aalagaan ng Privatewriting ang iyong akademikong tagumpay.
Quit Engineering, and marry Photography.	Bitawan mo ang inhenyeriya, at pakasal ka sa wildlife photography.
She advocated equal rights for women.	Itinataguyod niya ang pantay na karapatan para sa kababaihan.
She interrupted our director's retirement speech.	Ginambala niya ang talumpati ng pagreretiro ng aming direktor.
Small-scale farming can be a viable alternative.	Ang maliitang pagsasaka ay isang maaaring isagawang alternatibo.
Some elephants felt energized to play basketball.	May ilang elepante ang ginanahang maglaro ng basketbol.
Some fireflies see the weird fireflies.	May ilang alitaptap ang nakakakita sa mga kakaibang alitaptap.
Some kittens have completed their search.	Ang ilang kuting ay nakumpleto na ang kanilang paghahanap.
Students clean in their public school.	Ang mga estudyante ang naglilinis sa mga pampublikang paaralan.
Teachers are very helpful in studying engineering.	Sobrang makatutulong ang guro sa pagaral ng inhinyeriya.
Thanks for supporting the unemployed youth!	Salamat sa pagsuporta sa mga walang trabaho na kabataan!
That is the best univesity in the Philippines.	Iyan ang pinakamahusay na unibersidad sa Pilipinas.
The accident happened the day before yesterday.	Nangyari ang aksidente noong araw bago ang kahapon.
The bank rarely ever sends any confirmations.	Ang bangko ay bihirang magpadala ng anumang kumpirmasyon.
The beetle's team meet the villain turtle.	Nakipagkita ang koponan ng salagubang sa kalabang salagubang.
The butterfly didn't say the butterfly would help you.	Hindi ng paru-paro sinabing tutulungan kita.
The cafeteria's primary problem is its quality.	Ang pangunang problema sa kapetirya ay ang kalidad.
The car accidentally bumped the waiting passenger.	Aksidenteng nabangga ng kotse ang nag-aabang na pasahero.
The cat understands the difficulty of the situation.	Naiintindihan ng pusa ang kahirapan ng sitwasyon.
The centipede's bestfriend has no musical background.	Walang kakayahan sa musika ang kaibigan ng luslos.
The centipede's family accepts the baby centipede.	Tinanggap ng pamilya ng luslos ang batang luslos.
The centipede's father despises the baby centipede.	Kinamumuhian ng tatay ng luslos ang batang luslos.
The condition is no bacteria is called Asepsis.	Tinatawag na Asepsis ang kundisyong walang bakterya.
The cricket usually wear jeans on Sunday.	Palagiang nagsusuot ng pantalon ang kuliglig tuwing linggo.
The crickets helped each other with homework.	Nagtulungan ang mga kuliglig sa isa't-isa sa takadag-aralin.
The crickets will probably have many psychological problems.	Maraming sikolohikal na problema ang mga kuliglig.
The dragonfly's bestfriend has no musical background.	Walang kakayahan sa musika ang kaibigan ng tutubi.
The dragonfly's family accepts the baby dragonfly.	Tinanggap ng pamilya ng tutubi ang batang tutubi.
The dragonfly's father despises the baby dragonfly.	Kinamumuhian ng tatay ng tutubi ang batang tutubi.
The dumbest snake likes hotter temperatures.	Mahilig sa mas mainit na temperatura ang pinakatangang ahas.
The elephant became teammates with the huge elephant.	Naging magkakampi ang elepante at malaking elepante.
The elephant is slowly fulfilling his dream.	Unti unting natutupad ng elepante ang kanyang pangarap.
The elephant is slowly fulfilling his promise.	Unti unting natutupad ng elepante ang kanyang pangako.
The elephants are plotting a basketball revolution.	Nagpaplano ang mga elepante ng rebolusyon ng basketbol.
The first time she laid eyes on him.	Sa unang pagkakataong tumingin siya sa kanya.
The jellyfish transforms into a jellyfishcaptor.	Nagpalit-anyo ang dikya tungo sa isang tagahuli ng dikya.
The last process was later called Lamarckism.	Ang huling proseso ay kalaunang tinawag na Lamarckismo.
The Lithuanians were going the opposite direction,.	Ang mga Lithuanian ay nagpapatuloy sa maling direksyon.
The mosquitoes appointed miss smith chairperson.	Tinalaga ng mga lamok si miss smith bilang pinuno.
The mosquitoes haven't forgotten our first date.	Hindi nakalimutan ng lamok ang una nating pagsasama.
The next one will come after twenty minutes.	Darating ang susunod pagkatapos nang dalawampung minuto.
The package this morning confirmed his feelings.	Napatunayan ng padala ngayong umaga ang kaniyang nararamdaman.
The projector isn't displaying the correct colors.	Hindi ipinakikita ng projector ang mga tamang kulay.
The rats helped each other with homework.	Nagtulungan ang mga daga sa isa't-isa sa takadag-aralin.
The rats will probably have many psychological problems.	Maraming sikolohikal na problema ang mga daga.
The receptionist wants to take a cigarette break.	Gusto ng resepsyonista na magpahinga at manigarilyo.
The restaurant near the office looks fancy.	Mukhang mamahalin ang restaurant na malapit sa opisina.
The rice that you cooked is too dry.	Ang sinaing mong kanin ay masyadong tuyo.
The scorpion haven't forgotten our first date.	Hindi nakalimutan ng alakdan ang una nating pagsasama.
The scorpion's team meet the villain scorpion.	Nakipagkita ang koponan ng alakdan sa kalabang alakdan.
The secretary recorded the proceedings of the meeting.	Itinala ng kalihim ang kaganapan sa pagtitipon.
There are fishes who are successful exorcists.	Marmaing isda ang matagumpay na taga-alis ng demonyo.
There are frogs who are successful exorcists.	Marmaing palaka ang matagumpay na taga-alis ng demonyo.
There are many farming families associated on the community.	Maraming mga pamilyang nagsasaka sa komunidad.
There are many mountains to be found in the Philippines.	Maraming matatagpuang bundok sa Pilipinas.
There are many plateaus to be found in the Philippines.	Maraming matatagpuang talampas sa Pilipinas.
There are many sources of information these days.	Maraming pinanggagalingan ng impormasyon ngayong mga araw.
There are many volcanoes to be found in the Philippines.	Maraming matatagpuang bulkan sa Pilipinas.
There are too many items on this questionnaire.	Masyadong maraming tanong sa questionnaire na ito.
There is a secondary office on the seventh floor.	Mayroong pangalawang tanggapan sa ikapitong palapag.
There, we tried swimming with the whales.	Doon, nasubukan namin lumangoy kasama ang mga butanding.
These are called epheenetic systems.	Ang mga ito ay tinatawag na mga sistemang pagmamanang epihenetiko.
They are coiled with substrate cells.	Sila ay nakapulupot sa pinaghuhugutan ng selula ng substrano.
They did their best, they really did.	Ginawa nila ang kanilang pinakamahusay, talagang ginawa nila.
They encouraged everyone to join the rebellion.	Hinikayat nila ang lahat na makiisa sa himagsikan.
They frequently visit the factories in California.	Madalas nilang bisitahin ang mga pabrika sa California.
They parted ways due to irreconcilable differences.	Naghiwalay sila dahil sa mga hindi mapagkakasunduang pagkakaiba.
Think about your communication in daily life.	Isipin mo kung paano ka makipagusap sa pangaraw-araw.
Thirty minutes were alloted for his speech.	Tatlumpung minuto ang inilaan para sa kanyang talumpati.
Tomorrow we will celebrate my friend's birthday.	Magdidiwang kami bukas sa kaarawan ng kaibigan ko.
Tomorrow we will celebrate my grandfather's birthday.	Magdidiwang kami bukas sa kaarawan ng lolo ko.
Tomorrow we will celebrate my grandmother's birthday.	Magdidiwang kami bukas sa kaarawan ng lola ko.
Tomorrow we will celebrate my neighbor's birthday.	Magdidiwang kami bukas sa kaarawan ng kapitbahay ko.
Traveling may serve different purposes.	Ang paglalakbay ay maaaring maghatid ng iba't ibang mga layunin.
Two years ago, I travelled to Obihiro.	Dalawang taon na nakalipas, naglakbay ako papapuntang Obihiro.
Until then, the situation remains the same.	Noon hanggang ngayon, pareho pa rin ang sitwasyon.
We already started answering the difficult exam.	Nagsimula na kaming magsagot ng mahirap na pagsusulit.
We have information about their previous research.	Mayroon kaming impormasyon tungkol sa kanilang nakaraang pananaliksik.
We need to prepare for the upcoming exam.	Kailangan nating paghandaan ang nalalapit na pagsusulit.
We weren't playing football when the earthquake began.	Hindi kami naglalaro ng football nung lumindol.
We will clean the classroom after class.	Lilinisin namin ang aming sild-aralan pagkatapos ng klase.
We'll pull all-nighters every night until we finish this.	Gabi-gabi kaming magpupuyat hanggang matapos ito.
What are the roots of the pre-tribulation.	Ano ang pinag-mulan ng destruksyon bago ang kapighatian.
What is the most important for sustainable development?	Ano ang pinakamahalaga para sa nasusuportahang pag-unlad?
What time does the flight from Tagbilaran arrive?	Anong oras darating ang eroplano galing Tagbilaran?
What was Jojannekes favorite beach in Formentera?	Ano ang paboritong beach ni Jojannekes sa Formentera?
When fear arrives, something will happen.	Kapag ang takot ay dumating, may bagay na mangyayari.
Wholeheartedly ask forgiveness for the sins done.	Buong pusong hingin ang kapatawaran sa kasalanang nagawa.
You have zero understanding of our economic situation!	Wala kang pag-unawa sa ating sitwasyong pang-ekonomiya!
You to understand what the rapture consists.	Maintindihan ninyo kung ano ang bumubuo sa destruksyon.
You will experience one happy trip now.	Magiging isang masayang byahe ang mararanasan ninyo ngayon.
You'll do anything your employer wants.	Gagawin mo ang kahit anong naisin ng iyong tagapag-empleyo.
You'll understand why I want you desperately.	Maintindihan mo rin kung bakit ako desperadong-desperado sayo.
A century later, machines entered the scene.	Matapos ang isang siglo pumasok na ang mga makinarya.
A few people clapped after his lecture.	May konting tao na pumalakpak pagkatapos ng kanyang lecture.
A German couple who kept to themselves.	Isang mag-asawang Aleman na nag-iingat sa kanilang mga sarili.
A GPU costs 30,000 pesos nowadays.	Ang isang GPU ay nagkakahalaga ng 30,000 piso sa kasalukuyan.
About the day that we'll be gathered together).	Tungkol sa araw na tayo ay titipuning magkakasama).
Advertising is key to a successful business.	Ang pag-aanunsyo ay susi sa isang matagumpay na negosyo.
After several cups of coffee, work continues.	Pagkatapos ng ilang tasa ng kape, patuloy ang trabaho.
Air India 101 returning due to medical emergency.	Air India 101 babalik dahil sa medical emergency.
All the passengers got seasick during the storm.	Lahat ng pasahero ay naging seasick noong bumagyo.
Always sit upright to maintain good posture.	Laging umupo nang tuwid upang mapanatili ang magandang pustura.
America is the greatest country in the world.	Ang Amerika ang pinaka-magandang lugar sa buong mundo.
And the beginning of the Philippines' colonial period.	At ang pagsisimula ng panahong kolonyal ng Pilipinas.
And the beginnings of local and international trade.	At mga pagsisimula ng lokal at pandaigdigang kalakalan.
Ang unibersidad has reached the summit of success.	Naabot na ng unibersidad ang tugatog ng tagumpay.
Any student can answer that question.	Kahit sinong estudyante ay kayang sagutin ang tanong na 'yan.
Around the world there are bicycle clubs for carabaos.	Maraming koponan ng bisikleta sa buong mundo.
Be of good cheer: I have overcome the world.	Maging masayang sigaw: Aking napagtagumpayan ang mundo.
Because no company will hire them anyway!	Dahil wala naman talagang kumpanya ang kukuha sa kanila!
Between prehistoric Southeast Asian societies.	Sa pagitan ng mga lipunan ng Timog-silangang Asya noong sinaunang panahon.
Biochemistry explores the basic chemistry of life.	Ang biyokimika ay nagsisiyasat ng rudimentaryong kimika ng buhay.
