$3.5 million.	$3.5 milyon.
Calm me down.	Pakalmahin mo ako.
Calm yourself.	Pakalmahin mo ang sarili mo.
Can I ask a question?	Pwede ba ako magtanong?
Can I borrow a chair?	Pahiram ako ng upuan?
Can i borrow some money?	Pwede ba ako umutang?
Can I borrow this?	Pwede ko ba itong hiramin?
Can I come down?	Pwede ba akong bumaba?
Can I die?	Pwede pa akong mamatay?
Can I do this?	Kaya ko bang gawin ito?
Can I drive?	Pwede ba ako ang magmaneho?
Can I eat here?	Pwede ba akong kumain dito?
Can I eat there?	Pwede ba akong kumain doon?
Can I get glimpse?	Pwede ko ba masulyapan?
Can I go now?	Pwede na ba ako umalis?
Can I have a taste?	Maaari ko bang matikman?
Can I have it?	Pwede ko ba makuha ito?
Can I have one?	Pwede ba akong humingi ng isa?
Can I help you?	Kaya ba kitang tulungan?
Can I help you?	Pwede ba kitang tulungan?
Can i help you?	Maaari ba kitang tulungan?
Can I help?	Pwede ba akong tumulong?
Can I help?	Kaya ko ba ang tumulong?
Can I help?	Maaari ba akong tumulong?
Can I join?	Pwede ba akong sumali?
Can I ride?	Pwede ba akong sumakay?
Can I see that one?	Pwede ko ba iyon makita?
Can I sit here?	Pwede ba akong umupo dito?
Can I sleep now?	Pwede na ba ako matulog?
Can I still do it?	Kaya ko pa ba?
Can I take you with me?	Pwede ba kitang isama?
Can I touch it?	Pwede ko bang hawakan ito?
Can I try it on?	Pwede ko bang sukatin?
Can I try it on?	Maaari ko bang subukan ito?
Can I try it?	Maaari ko bang masubukan?
Can I try?	Pwede ko ba subukan?
Can it be cheaper?	Maari ba itong mas mura?
Can they do it?	Kaya ba nila?
Can they still do it?	Kaya pa ba nila?
Can we do it?	Kaya ba natin?
Can we eat now?	Maaari na bang kumain?
Can we go there?	Pwede ba tayong pumunta roon?
Can we leave?	Maaari na ba tayong umalis?
Can we play?	Pwede ba tayo maglaro?
Can we still do it?	Kaya pa ba natin?
Can we talk?	Pwede ba tayo mag-usap?
Can you breathe?	Nakakahinga ka ba?
Can you call him?	Puwede mo bang tawagan siya?
Can you dance?	Marunong ka ba sumayaw?
Can you delete that?	Kaya mo ba iyang burahin?
Can you do it?	Kaya mo ba?
Can you do me a favor?	Pwede bang pasuyo?
Can you do this?	Pwede mo bang gawin ito?
Can you drive?	Marunong ka magmaneho?
Can you drive?	Marunong ka bang magmaneho?
Can you explain?	Maipapaliwanag mo ba?
Can you feel it?	Nararamdaman mo ba?
Can you get him?	Pwede mo ba siya kuhanin?
Can you get me?	Pwede mo ba ako kuhanin?
Can you hear me?	Naririnig mo ba ako?
Can you help me?	Matutulungan mo ba ako?
Can you help me?	Pwede mo ba ako tulungan?
Can you help me?	Pwede mo ba akong tulungan?
Can you help me?	Pwede mo na akong tulungan?
Can you help?	Pwede ka bang tumulong?
Can you learn?	Kaya mo ba matuto?
Can you lift this?	Kaya mo ba itong buhatin?
Can you measure it?	Kaya mo bang sukatin ito?
Can you paint?	Marunong ka ba magpinta?
Can you prove this?	Kaya mo ba tong patunayan?
Can you reach that?	Abot mo ba iyon?
Can you reach that?	Abot mo ba iyan?
Can you reach these?	Abot mo ba ang mga ito?
Can you reach this?	Abot mo ba ito?
Can you reach those?	Abot mo ba ang mga iyon?
Can you reach those?	Abot mo ba ang mga iyan?
Can you read this?	Nababasa mo ba ito?
Can you repeat it?	Pwede mo bang ulitin?
Can you run?	Kaya mo bang tumakbo?
Can you see me?	Nakikita mo ba ako?
Can you sing?	Marunong ka ba kumanta?
Can you smell that?	Naaamoy mo ba iyon?
Can you spell it?	Kaya mo ba itong baybayin?
Can you still do it?	Kaya mo pa ba?
Can you swim at all?	Makakalangoy ka ba?
Can you swim?	Kaya mo bang lumangoy?
Can you swim?	Maranong ka bang lumangoy?
Can you tie this up?	Kaya mo bang itali ito?
Can you try it?	Kaya mo bang subukan?
Can you type?	Marunong ka bang magtype?
Can you understand me?	Naiintindihan mo ba ako?
Can you watch me?	Maaari mo ba akong panoorin?
Can't go tomorrow.	Hindi ako makakapunta bukas.
Can't you dance?	Hindi ka ba makasayaw?
Can't you sing?	Hindi ka ba makakanta?
Can't you sit down?	Hindi ka ba makaupo?
Card being stolen.	Card na baka manakaw.
Carry this.	Buhatin mo ito.
Carve it in a stone.	Itaga mo sa bato.
Cataclysm.	Kataklismo.
Catch him.	Saluhin mo siya.
Catch the ball.	Saluhin mo ang bola.
Catch the thief.	Hulihin ang magnanakaw.
Catching up is hard.	Mahirap humabol.
Cats are arrogant.	Arogante ang mga pusa.
Cats are mysterious.	Mahiwaga ang mga pusa.
Cats are selfish.	Madamot ang mga pusa.
Cats are strong.	Malalakas ang mga pusa.
Cats do cry.	Umiiyak ang mga pusa.
Cats do not cry.	Hindi umiiyak ang mga pusa.
Cats like milk.	Mahilig sa gatas ang mga pusa.
Cats love to bow.	Mahilig yumuko ang mga pusa.
Cats rarely cry.	Bihirang umiyak ang mga pusa.
Century A.	Siglo A.
Certainly not.	Siguradong hindi.
Certainly.	Pwedeng-pwede.
Change happens.	Ang pagbabago ay nangyayari.
Change is coming.	Parating na ang pagbabago.
Change is scary.	Nakakatakot ang pagbabago.
Change my mind.	Baguhin mo ang isip ko.
Change your clothes.	Palitan mong damit mo.
Change your face.	Baguhin mo ang mukha mo.
Chaotic rally.	Magulo ang rally.
Charades help.	Nakakatulong ang Charades.
Chase me.	Habulin mo ako.
Chase me.	Habulin ninyo ako.
Cheap pen.	Murang panulat.
Cheap pencil.	Murang lapis.
Cheap.	Mura.
Cheating is not allowed.	Bawal mandaya.
Cheating is not allowed.	Bawal ang pandaraya.
Check him out.	Tingnan mo.
Check it now.	Tingnan mo na.
Cheer up.	Matuwa kayo.
Cheers!	Tagay!
Chester called.	Tumawag si Chester.
Chicken is my favorite.	Paborito ko ang manok.
Chickens are delicious.	Masarap ang manok.
Chickens are strong.	Malakas ang manok.
Chicks are yellow.	Dilaw ang mga sisiw.
Chief captains.	Makapangyarihan.
Christians.	Mga Kristyano.
Churning out asses.	Gumagawa ng mga gunggong.
Clap.	Pumalakpak ka.
Class has started.	Nagsimula na ang klase.
Class is suspended.	Suspendido ang klase.
Classes are suspended.	Suspendido ang klase.
Clean it.	Linisin mo iyan.
Clean the black board.	Linisin ang pisara.
Clean up the room.	Linisin mo ang kwarto.
Clean up your mess.	Ayusin mo yung gulo mo.
Close that door.	Isara moa ng pintong iyan.
Close the door.	Isara mo ang pinto.
Close the window.	Isara mo ang bintana.
Close your eyes.	Ipikit mo ang iyong mga mata.
Close your mouth.	Isara mo ang iyong bibig.
Coconuts are bad.	Masama ang mga buko.
Coconuts are delicious.	Masarap ang mga buko.
Coconuts are hard.	Matigas ang mga buko.
Coconuts are plentiful.	Masagana ang mga buko.
Coffee or tea?	Kape o tsaa?
Cold room.	Malamig na silid.
Cold room.	Malamig na kwarto.
Cold water.	Malamig na tubig.
Comb your hair.	Suklayin ang iyong buhok.
Come again tomorrow.	Pumunta ka ulit bukas.
Come again.	Magbalik ka muli.
Come back here.	Bumalik ka dito.
Come back home already.	Umuwi ka na.
Come back tomorrow.	Babalik kami bukas.
Come back.	Bumalik ka.
Come back.	Bumalik ka na.
Come by tomorrow.	Dumaan ka mamaya.
Come down here!	Bumaba ka dito!
Come downstairs.	Bumaba ka.
Come find me.	Hanapin mo ako.
Come forward.	Sumulong ka.
Come here at once.	Pumunta ka agad dito.
Come home at once.	Umuwi ka agad dito.
Come home before dark.	Umuwi ka bago magdilim.
Come home early.	Umuwi ng maaga.
Come home early.	Umuwi ka ng maaga.
Come in here.	Pumasok ka dito.
Come in!	Pumasok ka!
Come in.	Pasok.
Come in.	Pumasok ka.
Come in.	Pasok kayo.
Come now, deal!	Halina at pumusta!
Come now!	Halika ka na!
Come on, bet!	Sige, pumusta ka!
Come on!	Tara!
Come on!	Tara na!
Come on, we'll be late.	Dali, mahuhuli na tayo.
Come out now.	Labas na.
Come out.	Labas.
Come over later.	Pumunta ka mamaya.
Come quickly!	Halika!
Come quickly!	Pumunta ka nang mabilis!
Come quickly.	Pumunta agad kayo.
Come to the window.	Pumunta ka sa bintana.
Come to your senses.	Umayos ka.
Come tomorrow.	Pumunta ka bukas.
Come with her instead.	Siya ang samahan mo.
Come with her.	Samahan mo siya.
Come with her.	Siya ay samahan mo.
Come with him instead.	Siya ang samahan mo.
Come with him.	Samahan mo siya.
Come with him.	Siya ay samahan mo.
Come with me instead.	Ako ang samahan mo.
Come with me!	Sumama ka sa akin!
Come with me.	Sumama ka sa akin.
Come with me.	Ako ay samahan mo.
Come with them instead.	Sila ang samahan mo.
Come with them.	Samahan mo sila.
Come with them.	Sila ay samahan mo.
Come with us.	Samahan mo kami.
Come with us.	Sumama ka na sa amin.
Come.	Halika.
Comes.	Dumarating.
Commit any sin.	Gumawa ng kasalanan.
Compete or die.	Makipagsabayan o mamatay.
Competition over.	Tapos ang kompetisyon.
Complicated story.	Komplikadong kwento.
Congratulations!	Binabati kita!
Congratulations.	Maligayang bati.
Contact me tomorrow.	Tawagan mo ako bukas.
Continue the fight.	Ipagpatuloy mo ang laban.
Cook the rice.	Lutuin mo ang kanin.
Copy it.	Kopyahin mo ito.
Correct answer.	Tamang sagot.
Correct!	Tumpak!
Could I have one?	Pwede humingi?
Could you help me?	Pwede mo ba akong tulungan?
Count faster.	Bilisan mong magbilang.
Count our money.	Bilangin moa ng ating pera.
Count slower.	Bagalan mong magbilang.
Counting is fun.	Masaya ang pagbibilang.
Court her already!	Ligawan mo na siya!
Court him already!	Ligawan mo na siya!
Cowards!	Mga duwag!
Cows eat grass.	Kumakain ng damo ang mga baka.
Cows have kidneys.	May mga bato ang mga baka.
Crab is cheap.	Mura ang alimango.
Crab is cheaper.	Mas mura ang alimango.
Crab is expensive.	Mahal ang alimango.
Crab is the cheapest.	Pinakamura ang alimango.
Crab is very cheap.	Napakamura ng alimango.
Cross the street.	Tumawid ka ng kalsada.
Ctenophora 100 types.	Ctenophora 100 mga uri.
Cucumber is nutritious.	Masustansya ang pipino.
Cupid hit me.	Tinamaan ako ni kupido.
Curry-flavored poop.	Curry na lasang tae.
Customer here.	Pabili po.
Customers who vomit.	Mga customer na nagsuka.
Cut me off.	Putulan mo ako.
Cut the potatoes.	Maghiwa ng patatas.
Cut the sound.	Putulin mo ang tunog.
Cut the tree.	Putulin mo ang puno.
Cut this part.	Gupitin mo ang parteng ito.
Cute and compact.	Matambok at siksik.
Cycliophora One type.	Cycliophora Isang uri.
Dance.	Sumayaw ka.
Day was breaking.	Patapos na ang araw.
Deal with it later.	Mamaya mo na asikasuhin.
Dear Jesus.	Mahal na Hesus.
Decades ago.	Nang dekada ang lumipas.
Define the words.	Ilarawan ang mga salita.
Delete that.	Burahin mo yan.
Delicious apple.	Masarap na mansanas.
Delicious banana.	Masarap na saging.
Delicious grape.	Masarap na ubas.
Delicious mango.	Masarap na mangga.
Describe a machine.	Ilarawan ang isang makina.
Did he accompany her?	Sinamahan ba niya siya?
Did he accompany you?	Sinamahan ka ba niya?
Did he already know me?	Kilala niya na ba ako?
Did he come with you?	Sinamahan ka ba niya?
Did he go with you?	Sinamahan ka ba niya?
Did he join you?	Sinamahan ka ba niya?
Did he say anything?	Mayroon ba siyang sinabi?
Did I accompany you?	Sinamahan ba kita?
Did I come with you?	Sinamahan ba kita?
Did I forget anything?	May nakalimutan ba ako?
Did I go with you?	Sinamahan ba kita?
Did I hurt your feelings?	Nasaktan ko ba ikaw?
Did I join you?	Sinamahan ba kita?
Did I lock the door?	Sinarado ko ba ang pinto?
Did I make anything wrong?	Nagkamali ba ako?
Did I miss anything?	May nakaligtaan ba ako?
Did it rain there?	Umulan ba diyan?
Did she accompany you?	Sinamahan ka ba niya?
Did she come with you?	Sinamahan ka ba niya?
Did she go with you?	Sinamahan ka ba niya?
Did she join you?	Sinamahan ka ba niya?
Did somebody call me?	May tumawag ba sa akin?
Did something happen?	Meron bang nangyari?
Did they accompany you?	Sinamahan ka ba nila?
Did they come with you?	Sinamahan ka ba nila?
Did they go with you?	Sinamahan ka ba nila?
Did they help you?	Tinulungan ka nila?
Did they join you?	Sinamahan ka ba nila?
Did they say when?	Sinabi ba nila kung kailan?
Did we learn this?	Natutunan ba natin ito?
Did we win?	Nanalo ba tayo?
Did you accompany her?	Sinamahan mo ba siya?
Did you accompany him?	Sinamahan mo ba siya?
Did you accompany me?	Sinamahan mo ba ako?
Did you accompany them?	Sinamahan mo ba sila?
Did you already know me?	Kilala mo na ba ako?
Did you break it?	Nasira mo ba ito?
Did you bring a mirror?	Nagdala ka ng salamin?
Did you bring a soap?	Nagdala ka ba ng sabon?
Did you bring it?	Dinala mo ba?
Did you brush your teeth?	Nagsipilyo ka na ba?
Did you buy a ticket?	Bumili ka ba ng tiket?
Did you call me?	Tinawag mo ba ako?
Did you come with her?	Sinamahan mo ba siya?
Did you come with him?	Sinamahan mo ba siya?
Did you come with me?	Sinamahan mo ba ako?
Did you come with them?	Sinamahan mo ba sila?
Did you complete it?	Nakumpleto mo ba?
Did you comprehend?	Naintindihan mo ba?
Did you drink coffee?	Uminom ka ng kape?
Did you drink milk?	Uminom ka ng gatas?
Did you drink milk?	Uminom ka ba ng gatas?
Did you drink water?	Uminom ka ng tubig?
DId you eat a lot?	Kumain ka ba nang marami?
Did you find her?	Nahanap mo ba siya?
Did you find him?	Nahanap mo ba siya?
Did you get hurt?	Nasaktan ka ba?
Did you get up early?	Maaga ka bang nagising?
Did you give my change?	Nabigay niyo na sukli?
Did you go with her?	Sinamahan mo ba siya?
Did you go with him?	Sinamahan mo ba siya?
Did you go with me?	Sinamahan mo ba ako?
Did you go with them?	Sinamahan mo ba sila?
Did you have an accident?	Naaksidente ka ba?
Did you hear that?	Narinig mo ba iyon?
Did you help?	Tumulong ka ba?
Did you join her?	Sinamahan mo ba siya?
Did you join him?	Sinamahan mo ba siya?
Did you join me?	Sinamahan mo ba ako?
Did you join them?	Sinamahan mo ba sila?
Did you kill her?	Pinatay mo ba siya?
Did you know him?	Kilala mo ba siya?
Did you know that?	Alam mo ba iyon?
Did you learn?	Natuto ka ba?
Did you learn?	May natutunan ka ba?
Did you like it?	Nagustuhan mo ba?
Did you make it?	Ginawa mo ba?
Did you make it?	Naabutan mo ba?
Did you read it at all?	Nabasa mo ba lahat?
Did you see her?	Nakita mo ba siya?
Did you see him?	Nakita mo ba siya?
Did you see it?	Nakita mo ba?
Did you see John?	Nakita mo ba si John?
Did you see my bag?	Nakita mo ba yung bag ko?
Did you see that?	Nakita mo iyon?
Did you see that?	Nakita mo ba iyon?
Did you stop eating?	Huminto ka ba sa pagkain?
Did you study?	Nag-aral ka ba?
Did you take a bath?	Naligo ka ba?
Did you think of me?	Iniisip mo ba ako?
Did you think of something?	May naisip ka ba?
Did you touched me?	Hinawakan mo ba ako?
Did you understand?	Naintindihan mo ba?
Did you use gloves?	Gumamit ka ba ng guwantes?
Died for us.	Ay namatay para sa atin.
Different plagues.	Ibat-ibang mga salot.
Difficult exam.	Mahirap na pagsusulit.
Difficult problem.	Mahirap na problema.
Difficult question.	Mahirap na tanong.
Discount please.	Tawad naman.
Do have my pencil?	Nasa iyo ba ng aking lapis?
Do I dislike?	Ayaw ko ba?
Do I have a problem?	May problema ba ako?
Do I know you?	Kilala ba kita?
Do I think?	Tingin ko ba?
Do it again!	Ulitin mo!
Do it at once.	Gawin mo kaagad.
Do it by yourself.	Gawin mo yan mag-isa.
Do it gently.	Dahan-dahan lang.
Do it later.	Gawin mo na lang mamaya.
Do it now.	Gawin mo na.
Do it quickly.	Gawin mo iyon agad.
Do it right!	Gawin mo iyan nang tama!
Do it tomorrow.	Gawin mo ito bikas.
Do it!	Gawin mo!
Do it.	Gawin mo.
Do not ask me.	Huwag mo akong tanungin.
Do not be afraid.	Huwag kang matakot.
Do not be afraid.	Huwag matakot.
Do not be crazy.	Wag magpakahibang.
Do not be lazy.	Huwag ka maging tamad.
Do not be noisy.	Huwag kang maingay.
Do not be sad.	Huwag ka malungkot.
Do not be scared.	Huwag kang matakot.
Do not bite me.	Huwag mo akong kagatin.
Do not buy fake.	Huwag bibili ng peke.
Do not buy fake.	Huwag bibili ng huwad.
Do not come back.	Huwag ka nang bumalik.
Do not come close.	Huwag kang lumapit.
Do not cross the line.	Huwag lumagpas sa linya.
Do not cross.	Huwag tumawid.
Do not cry.	Huwag ka umiyak.
Do not cry.	Huwag kang umiyak.
Do not disobey me.	Huwag mo akong suwayin.
Do not disturb me.	Huwag mo akong istorbohin.
Do not do that!	Huwag mong gawin iyan!
Do not do that.	Huwag mo iyang gawin.
Do not eat that.	Wag mo na kainin iyan.
Do not fight it.	Huwag mo itong labanan.
Do not force me.	Huwag mo akong pilitin.
Do not get angry.	Huwag ka magalit.
Do not get your hopes up.	Huwag kang umasa.
Do not give up!	Huwag ka susuko!
Do not give up.	Huwag mong isuko.
Do not go back.	Huwag ka nang bumalik.
Do not go.	Huwag kang umalis.
Do not hold back.	Huwag kang magpigil.
Do not interfere.	Huwag kang makialam.
Do not invent.	Huwag ka mag-imbento.
Do not let him in.	Huwag mo siyang papasukin.
Do not lie down.	Huwag hihiga.
Do not litter.	Huwag magkalat.
Do not lob at me.	Huwag niyo ako itsahan.
Do not lob at others.	Huwag kayo mang-itsa.
Do not lob me.	Huwag niyo ako itsahin.
Do not loiter.	Huwag tumambay.
Do not look at me.	Huwag mo akong tingnan.
Do not look.	Huwag kang tumingin.
Do not make noise.	Bawal mag-ingay.
Do not make them cry.	Huwag mo sila paiyakin.
Do not make up things.	Huwag ka mag-imbento.
Do not mention it.	Huwag mong banggitin iyon.
Do not pick up.	Huwag pulutin.
Do not pity me.	Huwag kang maawa sa akin.
Do not reply.	Huwag sumagot.
Do not rip the paper.	Huwag punitin ang papel.
Do not rush!	Huwag magmadali!
Do not rush.	Huwag kang magmadali.
Do not scream.	Huwag kang humiyaw.
Do not shout.	Huwag kang sumigaw.
Do not slack off.	Huwag tamarin.
Do not sleep yet.	Huwag ka munang matulog.
Do not speak.	Huwag kang magsalita.
Do not stand.	Huwag kang tumayo.
Do not take it away.	Huwag mo itong tanggalin.
Do not talk to me.	Huwag mo akong kausapin.
Do not throw at me.	Huwag niyo ako batuhin.
Do not toss at me.	Huwag niyo ako hagisan.
Do not toss at others.	Huwag kayo manghagis.
Do not touch me.	Huwag mo akong hawakan.
Do not worry.	Huwag ka mag-alala.
Do not worry.	Huwag kang mag-alala.
Do not!	Huwag!
Do that first.	Unahin mong gawin iyan.
Do that first.	Unahin mong gawin iyon.
Do the right thing.	Gawin mo ang nararapat.
Do they need help?	Kailangan ba nila ng tulong?
Do they take a bath?	Naliligo ba sila?
Do they think?	Nagiisip ba sila?
Do this first.	Unahin mong gawin ito.
Do we think?	Nagiisip ba tayo?
Do you agree?	Sang-ayon ka ba?
Do you bite?	Nangangagat ka ba?
Do you breathe fire?	Bumubuga ka ba ng apoy?
Do you bring your hat?	Dinala mo sumbrero mo?
Do you care?	May pakealam ka ba?
Do you climb trees?	Umaakyat ka ba ng puno?
Do you comprehend?	Naiintindihan mo ba?
Do you deny that?	Itinatanggi mo ba iyon?
Do you dislike me?	Ayaw mo ba ako?
Do you drink coffee?	Umiinom ka ng kape?
Do you drink milk?	Umiinom ka ng gatas?
Do you drink milk?	Umiinom ka ba ng gatas?
Do you drink water?	Umiinom ka ng tubig?
Do you eat bananas?	Kumakain ka ba ng saging?
Do you ever sleep?	Natutulog ka pa ba?
Do you feel bad?	Masama ba ang pakiramdam mo?
Do you feel it?	Nararamdaman mo ba?
Do you feel okay?	Okay ba ang pakiramdam mo?
Do you feel that?	Nararamdaman mo ba iyon?
Do you feel the same?	Nararamdaman mo rin ba?
Do you have a ballpen?	May ballpen ka ba?
Do you have a band?	May banda ka ba?
Do you have a car?	May kotse ka ba?
Do you have a car?	May sasakyan ka ba?
Do you have a cat?	May mga pusa ka ba?
Do you have a cellphone?	May telepono ka ba?
Do you have a clue?	May ideya ka ba?
Do you have a complaint?	May reklamo ka ba?
Do you have a dream?	My pangarap ka ba?
Do you have a light?	Mayroon ka bang ilaw?
Do you have a light?	Mayroon ka bang panindi?
Do you have a lighter?	Meron kang pangsindi?
Do you have a map?	Mayroon ka bang mapa?
Do you have a match?	Meron kang pangsindi?
Do you have a notebook?	May notebook ka?
Do you have a paper?	May papel ka?
Do you have a paper?	May papel kaba?
Do you have a paper?	Mayroon kang papel?
Do you have a pen on you?	May pangsulat ka?
Do you have a pen?	May panulat ka ba?
Do you have a pencil?	May lapis ka?
Do you have a piece of paper?	May papel ka ba?
Do you have a preference?	May gusto ka ba?
Do you have a problem?	May problema ka ba?
Do you have a ramp?	Mayroon ka bang rampa?
Do you have a receipt?	Mayroon ka bang resibo?
Do you have a request?	May pasintabi ka ba?
Do you have a sharpener?	May pantasa ka ba?
