Good morning, he said.	Magandang umaga, sinabi niya.
are you selling starfruit?	nagbebenta ba kayo ng balimbing?
are you selling strawberry?	nagbebenta ba kayo ng presa?
are you selling sugar apple?	nagbebenta ba kayo ng atis?
are you selling tamarind?	nagbebenta ba kayo ng sampalok?
are you selling tomato?	nagbebenta ba kayo ng kamatis ?
are you selling turnip?	nagbebenta ba kayo ng singkamas?
are you selling wax gourd?	nagbebenta ba kayo ng kundol?
are you selling whale shark?	nagbebenta ba kayo ng butanding?
are you selling worm?	nagbebenta ba kayo ng bulate?
Are you starting tomorrow?	magsisimula ka na ba bukas?
Are you still exercising?	Nag-eehersisyo ka pa rin?
Are you taking medicine for that?	Nagagamot ka ba para dyan?
Are you telling the truth?	Nagsasabi ka ba ng totoo?
Are you the eldest sibling?	Ikaw ba ang panganay?
Are you the middle sibling?	Ikaw ba ang pang-gitnang kapatid?
Are you the youngest sibling?	Ikaw ba ang bunso?
Are you thinking of helping them?	Isip mo bang tulungan sila?
Are you thinking of something?	May iniisip ka ba?
Are you training every day?	Ikaw ba nag-eensayo araw-araw?
Are you traveling alone?	Mag-isa ka bang naglalakbay?
Are you using gloves?	Gumagamit ka ba ng guwantes?
Are you vacant right now?	Bakante ka ba ngayon?
Are you waiting for someone?	May hinihintay ka ba?
Are you working today?	Magtatrabaho ka ba ngayon?
Are you working today?	Mag tatrabaho ka ba ngayon?
Are you working Tomorrow?	papasok ka ba sa trabaho bukas?
Aren't you getting tired?	Hindi ka ba napapagod?
Aren't you going there?	Hindi ka ba doon pupunta?
Arrange your chairs.	Isaayos niyo ang mga upuan niyo.
Arriving early is good.	maganda ang maagang dumating.
As a matter of fact, she is my sister?	Pa-Tokyo ka ba bukas?
As a result, the baby woke up.	Nagising tuloy ang sanggol.
As genially as possible.	Sa magiliw na paraan na posible.
as soon as Howie gets back.	pagkadating na pagkadating ni Howie.
as soon as you can!	pumunta ka sa lalong madaling panahon!
As usual, Tom was late.	gaya ng dati huli nanaman si Tom.
Ask Tom to come tomorrow.	Yayain mo si Tom bukas.
Ask which way to go.	Tanungin mo kung anong daana ng papunta.
at 67,000 years old.	na may tanda na 67,000 taon.
At least not in Spain.	Kahit papano ay hindi sa Espanya.
At noon, he arrived .	Pagsapit ng tanghali ay dumating siya.
At one time, there was a bridge here.	May tulay doon dati.
At the beginning of the month.	Sa umpisa ng buwan.
Auntie do you have change?	May barya ka po tita?
Autumn is just around the corner.	Malapit na ang taglagas.
Avocados are delicious.	Masarap ang mga abukado.
Back in verse 29.	Balikan natin ang bersikulo 29.
Bad news travels fast.	Mabilis lumakbay ang masamang balita.
New king, new character.	Bagong hari, bagong ugali.
Why do birds fly?	Bakit lumilipad ang mga ibon?
Why do you seem so sad?	Bakit parang malungkot ka yata?
Bambam loves music.	Gusto ni Bambam ang musika.
banana is getting more expensive.	mas nagmumura ang saging.
Banana is good for the body.	Maganda sa katawan ang saging.
Banana is more expensive.	Mas mahal ang saging.
banana is not that cheap.	hindi ganoon kamura ang saging.
Banana is nutritious.	Ang saging ay masustansya.
banana is the most expensive.	pinakamahal ang saging.
Banana is very expensive.	Napakamahal ng saging.
Banana makes you smarter.	Pampatalino ang saging.
Banana peels are slippery.	Madulas ang mga balat ng saging.
Bananas are nutritious.	Masustansya ang mga saging.
Based on what we have learned.	Base s aming pinag-aralan.
Basha is a happy child.	Masayahing bata si Basha.
Bat wings are flexible.	Nababaluktot ang mga pakpak ng paniki.
Bats live in caves.	Nakatira sa mga kuweba ang mga paniki.
Be at peace tonight.	wag kang mag-alala ngayong gabi.
Be careful of his head.	Ingatan nyo yung ulo niya.
Be careful what you do.	Mag ingat ka sa ginagawa mo.
Be careful who you love.	Mag ingat ka sa minamahal mo.
Be happy and have fun.	Maging masiyahin at magpakasaya ka.
be inoculated against more.	mabakuna laban sa mas marami pa.
Be quiet during the lesson.	Tumahimik ka habang naglelesson.
Be sure of your answers.	Siguraduhin moa ng iyong mga sagot.
Be there tonight.	Magpunta ka doon mamayang gabi.
Be there tonight.	Nandoon ka dapat mamayang gabi.
Be true to yourself.	Magpakatotoo sa iyong sarili.
Bears are tough opponents.	Mahirap na mga kalaban ang mga oso.
Bears eat fish.	Kumakain ng mga isda ang mga oso.
Bears eat people.	Kumakain ng mga tao ang mga oso.
Bears fight cats.	Linalabanan ng mga oso ang mga pusa.
Bears like honey.	Mahilig sa pulot ang mga oso.
Bears like to talk.	Mahilig magsalita ang mga oso.
Bears live in the forest.	Nakatira sa gubat ang mga oso.
Bears sleep in caves.	Natutulog sa kuweba ang mga oso.
Because I love machines.	Dahil mahilig ako sa makina.
Because sis helped me out.	Dahil tinulungan ako ni ate.
Bees are colored yellow.	Kulay dilaw ang mga bubuyog.
Bees attack people.	Umaatake ng mga tao ang mga bubuyog.
Bees could be poisonous.	Posibleng makamandag ang mga bubuyog.
Bees have queens.	May mga reyna ang mga bubuyog.
Bees like flowers.	Mahilig sa mga bulaklak ang mga bubuyog.
Bees produce honey.	Gumagawa ng pulot ang mga bubuyog.
Beetles have weapons.	May armas ang mga salagubang.
Before it became common.	Bago ito naging pangkaraniwan.
Before the end of the month.	Bago matapos ang buwan.
Begin from the very beginning.	Magsimula ka sa pinakasimula.
Begin from the very start.	Magsimula ka sa pinakasimula.
beginning from the 14th century.	simula sa ika-14 na dantaon.
Believe in yourself.	Maniwala ka sa iyong sarili.
believer to read.	mananampalataya para ito ay basahin nila.
believers are caught up.	ang mga mananampalataya ay titipunin.
Berlin is now your home?	Ang Berlin ay ang tahanan mo ngayon?
Better late than never.	mas maganda nang huli kaysa sa wala.
Beware of bears in the forest.	Mag-ingat sa mga oso sa gubat.
Big reason to worry.	Malaking dahilan para mag-alala.
Birds come from eggs.	Nanggagaling sa mga itlog ang mga ibon.
Birds eat seeds.	Kumakain ng mga buto ang mga ibon.
Birds have feathers.	Mayroong mga balahibo ang mga ibon.
Bitter gourd is cheaper.	Mas mura ang ampalaya.
bitter gourd is more expensive.	mas mahal ang ampalaya.
bitter gourd is the cheapest.	pinakamura ang ampalaya.
bitter gourd is the most expensive.	pinakamahal ang ampalaya.
bitter gourd is very cheap.	napakamura ng ampalaya.
bitter gourd is very expensive.	napakamahal ng ampalaya.
Black is a dark color.	Ang itim ay isang madilim na kulay.
Black is my favorite color.	Itim ang paborito kong kulay.
Black is my favorite color.	Itim ang aking paboritong kulay.
black plum is more expensive.	mas mahal ang duhat.
black plum is not that cheap.	hindi ganoon kamura ang duhat.
Black plum is the cheapest.	Pinakamura ang duhat.
black plum is the most expensive.	pinakamahal ang duhat.
black plum is very expensive.	napakamahal ng duhat.
Black will not become white.	Hindi magiging puti ang itim.
Blessed by the nobles.	Pinagpala ng mga maharlika.
Blow air into his mouth.	Hipan mo ang kanyang bunganga.
Blue is my favorite color.	Bughaw ang paborito kong kulay.
Blue is my favorite color.	Bughaw ang aking paboritong kulay.
This book is mine every chapter.	Ang aklat na ito ay akin, bawat kapitulo.
bottle gourd is more expensive.	mas mahal ang upo.
bottle gourd is not that cheap.	hindi ganoon kamura ang upo.
Bottle gourd is the cheapest.	Pinakamura ang upo.
bottle gourd is the most expensive.	pinakamahal ang upo.
bottle gourd is very expensive.	napakamahal ng upo.
Bread is baked in an oven.	Nagtitinapay sa hurno.
Breathe in through the nose.	Huminga sa pamamagitan ng ilong.
Bring a pair of glasses.	Magdala ka ng salamin.
Bring me the magazines.	Dalhin mo sa akin ang mga magasin.
Bring me to your palace.	Dalhin mo ako sa iyong palasyo.
Bring Suzy to the clinic.	Dalhin mo si Suzy sa clinic.
Brother do you have change?	May barya ka po kuya?
Brother do you have change?	May barya ka kapatid?
Brother do you have change?	May barya ka po kapatid?
Bulls kill people.	Pumapatay ng mga tao ang mga toro.
But are your points enough?	Pero sapat ba ang iyong puntos?
But are your points enough?	Ngunit sapat ba ang iyong puntos?
But he couldn't be convinced.	Hindi siya madaan sa usapan.
But he wouldn't hear of it.	Ngunit hindi niya pinakinggan ito.
but if someone said tomorrow.	pero kung may magsasabi bukas.
But is your grade enough?	Pero sapat ba ang iyong grado?
But is your grade enough?	Ngunit sapat ba ang iyong grado?
But is your grade enough?	Subalit sapat ba ang iyong grado?
But it could be fun.	Pero baka maging masaya naman.
But it is like you are crazy.	Para ka naman baliw.
But now it is too late.	Ngunit huli na ang lahat.
But soon, we will.	sa lalong madaling panahon gagawin natin.
But then you'll ask them.	Pero tatanungin ninyo sila.
But there's a 10% deduction.	Pero may kaltas ng 10%.
But they might recognize me.	Baka mamukhaan ako.
But what did I write down?	Pero ano ba ang isinulat ko?
But what did I write down?	Ngunit ano ba ang isinulat ko?
But what did I write down?	Subalit ano ba ang isinulat ko?
But what does that create?	Ngunit ano ang inililikha nito?
But will it be accepted?	Pero tatanggapin ba ito?
But will it be accepted?	Ngunit tatanggapin ba ito?
But will it be accepted?	Subalit tatanggapin ba ito?
But you follow your heart.	Pero sundin mo ang puso mo.
But you're old, now, Jim.	ngunit matanda ka na Jimi.
Buy a new toothbrush.	Bumili ka na ng bagong sipilyo.
Buy him something to drink.	Bilhan mo siya ng maiinom.
Buy me fried chicken.	Bilihan mo ako ng pritong manok.
Buy snacks for later.	Bumili ka ng meryenda para mamaya.
By tomorrow I'll be fine.	Bukas ay magiging mabuti na ako.
cabbage is getting more expensive.	mas nagmumura ang repolyo.
Cabbage is good for the body.	Maganda sa katawan ang repolyo.
Cabbage is more expensive.	Mas mahal ang repolyo.
cabbage is not that cheap.	hindi ganoon kamura ang repolyo.
Cabbage is nutritious.	Ang repolyo ay masustansya.
Cabbage is the cheapest.	Pinakamura ang repolyo.
cabbage is the most expensive.	pinakamahal ang repolyo.
cabbage is very expensive.	napakamahal ng repolyo.
Cabbage makes you smarter.	Pampatalino ang repolyo.
Cabbages are tasteless.	Walang lasa ang mga repolyo.
Call him a chicken instead.	Tawagin mo na lang siyang manok.
Call his/her parents.	Tawagan mo ang mga magulang niya.
Call me at 9:00 tomorrow.	tawagan mo ako ng 9:00 bukas.
Call me at the office.	Tawagan mo ako sa opisina.
Call me before you leave.	Tawaan mo ko bago ka umalis.
Call me before you leave.	Tawagan mo ako bago ka umalis.
Call me this evening.	Tawagan mo ako ngayong gabi.
Call Tom this evening.	Tawagan mo si Tom ngayong gabi.
Can anybody hear me?	May nakakarinig ba sa kain?
Can I ask a favor?	Pwede po bang humingi ng pabor?
Can I borrow your book?	Maari bang mahiram ang iyong libro?
Can I borrow your cards?	Pwede ko ba hiramin ang iyong baraha?
Can I borrow your cellphone?	Pwede makihiram ng telepono mo?
Can I borrow your chair?	Pwede ko ba hiramin ang iyong upuan?
Can I borrow your money?	Pwede ko ba hiramin ang iyong pera?
Can I borrow your pen?	Pwede ko bang hiramin ang ballpen mo?
Can I borrow your pen?	Pwede ko bang hiramin ang panulat mo?
Can I borrow your pencil?	Pwede ko bang hiramin ang lapis mo?
Can I borrow your room?	Pwede ko ba hiramin ang iyong kwarto?
Can I bring my friend?	Maari ba ako magsama ng kaibigan?
Can I but the mackerel?	Pwede ko bang bilhin ang tangigi?
Can I but the tuna?	Pwede ko bang bilhin ang tulingan?
Can I buy the anchovy?	Pwede ko bang bilhin ang dilis?
Can I buy the catfish?	Pwede ko bang bilhin ang hito?
Can I buy the cavalla?	Pwede ko bang tingnan ang talakitok?
Can I buy the grouper?	Pwede ko bang bilhin ang lapu-lapu?
Can I buy the milkfish?	Pwede ko bang bilhin ang bangus?
Can I buy the mudfish?	Pwede ko bang bilhin ang dalag?
Can I buy the ponyfish?	Pwede ko bang bilhin ang sapsap?
Can I buy the rabbitfish?	Pwede ko bang bilhin ang samaral?
Can I buy the sardines?	Pwede ko bang bilhin ang sardinas?
Can I buy the snapper?	Pwede ko bang bilhin ang maya-maya?
Can I buy the surgeonfish?	Pwede ko bang bilhin ang labahita?
Can I buy you anything?	May mabibili ba ako para sayo?
Can I call later today?	pwede ba akong tumawag mayamaya?
Can I call you later?	pwede ba kitang tawagan mamaya?
Can I come over later?	pwede ba akong pumunta mamaya?
Can I come tomorrow, too?	pwede rin ba akong sumama bukas?
Can I drive your car?	Maaari ko bang imaneho ang iyong kotse?
Can I eat anything?	Pwede ba ako kumain ng kahit ano?
Can I get you anything?	May maikukuha ba ako para sayo?
Can I go to the bathroom?	Kaya ko bang pumunta sa palikuran?
Can I go to the CR?	Kaya ko bang pumunta sa palikuran?
Can I go to the restroom?	Kaya ko bang pumunta sa palikuran?
Can I have a plate?	Puwede ba ako makahingi ng plato?
Can I have a receipt please?	Maari ba ako magkaron ng resibo?
Can I have some water?	Pwede ba ako makahingi ng tubig?
Can I lay down on the floor?	Maaari ba akong humiga sa sahig?
Can I open the window?	Puwede ko bang buksan ang bintana?
Can I repeat my number?	Pwede bang maulit ang aking numero?
Can I see the shark?	Pwede ko bang tingnan ang pating?
Can I see you later?	pwede ba tayo magkita mamaya?
Can I see you tonight?	Pwede ba kitang makita mamayang gabi?
Can I sleep on the floor?	Maaari ba akong matulog sa sahig?
Can I take off early?	pwede ba akong umalis nang maaga?
Can I try it later?	Pwede ko bang subukan mamaya?
Can I use your soap?	Maaari ko bang gamitin ang iyong sabon?
Can it buy it at fifteen pesos?	Pwede kinse nalang?
Can it buy it at fifty pesos?	Pwede singkwenta nalang?
Can it buy it at forty pesos?	Pwede kwarenta nalang?
Can it buy it at ten pesos?	Pwede sampung piso nalang?
Can it buy it at thirty pesos?	Pwede trenta nalang?
Can it buy it at twenty pesos?	Pwede bente nalang?
Can the boat carry us?	Kaya kaya tayo ng bangka?
Can Tom come tomorrow?	pwede bang pumunta si Tom bukas?
Can we ask someone?	May mapagtatanungan ba tayo?
Can we be friends?	Maaari ba tayong maging magkaibigan?
Can we do it one last time?	Maaari ba nating ulitin muli?
Can we do this later?	Pwede bang mamaya na lang?
Can we meet later?	Maaari ba tayong magkita mamaya?
Can we talk for a bit?	Puwede ba tayo mag-usap ng sandali?
Can we talk tomorrow?	pwede bang mag-usap tayo bukas?
Can we use phrases?	Maari ba naming gamitin ang mga parirala?
Can we walk there?	Maaari ba tayong maglakad doon?
Can you blink quickly?	Kaya mo bang kumurap nang mabilis?
Can you bring a car?	Pwede ka ba magdala ng sasakyan?
Can you bring my bag?	Maaari mo bang dalhin ang aking bag?
Can you bring this tomorrow?	Pwede mo bang dalhin ito bukas?
Can you buy a battery?	Pwede ba akong bumili ng baterya?
Can you call me later?	pwede mo ba akong tawagan mamaya?
Can you clean the floor?	Maaari mo bang linisin ang sahig?
Can you clean this up?	Pwedeng pakilinis mo nga nito?
Can you come right now?	Pwede ka na bang pumunta dito ngayon?
Can you come tomorrow?	pwede ka bang pumunta bukas?
Can you come with me?	Pwede mo ba akong samahan?
Can you count them?	Kaya mo ba silang bilangin?
Can you do it tomorrow?	pwede mo bang gawin ito bukas?
Can you do this for me?	Pwede ba gawin mo ito para sa akin?
Can you do this for me?	Pwede ba gawin mo 'to para sa akin?
Can you drive a car?	Marunong kang magmaneho ng sasakyan?
Can you drive faster?	Kaya mo bang magmaneho ng mas mabilis?
Can you drive slower?	Kaya mo bang magmaneho ng mas mabagal?
Can you endure the pain?	Kaya mo bang tiisin ang sakit?
Can you find your way home?	Alam mo ba ang daan pauwi sa inyo?
Can you finish it by noon?	Matatapos mo ba ito sa tanghali?
Can you get my big brother?	Pwede mo ba kuhanin kuya ko?
Can you get my big sister?	Pwede mo ba kuhanin ate ko?
Can you get my father?	Pwede mo ba kuhanin tatay ko?
Can you get my mother?	Pwede mo ba kuhanin nanay ko?
Can you get the apples?	Pwede mo ba kuhanin ang mga mansanas?
Can you get the bananas?	Pwede mo ba kuhanin ang mga saging?
Can you get the cabbage?	Pwede mo ba kuhanin ang repolyo?
Can you get the cards?	Pwede mo ba kuhanin ang mga baraha?
Can you get the cashew?	Pwede mo ba kuhanin ang kasoy?
Can you get the celery?	Pwede mo ba kuhanin ang kintsay?
Can you get the chayote?	Pwede mo ba kuhanin ang sayote?
Can you get the clothes?	Pwede mo ba kuhanin ang mga damit?
Can you get the corn?	Pwede mo ba kuhanin ang mais?
Can you get the eggplant?	Pwede mo ba kuhanin ang talong?
Can you get the food?	Pwede mo ba kuhanin ang pagkain?
